query	taxonomy_majority	taxonomy_strict	species	genus	family	order	class	phylum	domain	avgdist	order_dup	estimated_completeness	estimated_contamination	contamination_type	gvog4_unique	gvog8_unique	gvog8_total	gvog8_dup	ncldv_mcp_total	mcp_total	vp_completeness	vp_mcp	plv	vp_df	mirus_completeness	mirus_df	mrya_unique	mrya_total	phage_unique	phage_total	cellular_dup	contigs	LENbp	GCperc	genecount	CODINGperc	ttable
ERR14872777_NODE_155_length_43533_cov_19.968398	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_;s_	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_;s_	NCLDV__S843:1(50.00%),NCLDV__singleton:1(50.00%)	NCLDV__g304:1(50.00%),NCLDV__g1905:1(50.00%)	NCLDV__IM_12:2(100.00%)	NCLDV__Imitervirales:2(100.00%)	NCLDV__Megaviricetes:2(100.00%)	NCLDV__Nucleocytoviricota:2(100.00%)	NCLDV:2(100.00%)	0.74	1.00	48.02	1.92	clean	0	1	1	1.00	0	0	0/4	0	0	0.00	0/4	0.00	1	1	0	0	0	1	43533	28.83	48	89.39	codemeta
ERR14872777_NODE_20_length_137217_cov_20.093298	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_;s_singleton	d_;p_;c_;o_;f_;g_;s_	NCLDV__singleton:9(69.23%),PLV__MCP in Acanthocystis sp.2 P10K:1(7.69%),EUK__Entodinium caudatum:1(7.69%),EUK__Synura sp. LO234KE:1(7.69%),NCLDV__S2389:1(7.69%)	NCLDV__g1905:4(30.77%),PLV__MCP in Acanthocystis:1(7.69%),NCLDV__g1907:1(7.69%),EUK__Entodinium:1(7.69%),NCLDV__g1685:1(7.69%),NCLDV__g1904:1(7.69%),EUK__Synura:1(7.69%),NCLDV__g309:1(7.69%),NCLDV__g304:1(7.69%),NCLDV__g_:1(7.69%)	NCLDV__IM_12:9(69.23%),PLV__NA:1(7.69%),EUK__Ophryoscolecidae:1(7.69%),NCLDV__IM_07:1(7.69%),EUK__Mallomonadaceae:1(7.69%)	NCLDV__Imitervirales:10(76.92%),PLV__NA:1(7.69%),EUK__NA:1(7.69%),EUK__Synurales:1(7.69%)	NCLDV__Megaviricetes:9(69.23%),PLV__NA:1(7.69%),EUK__Alveolata:1(7.69%),EUK__Stramenopiles:1(7.69%),NCLDV__NA:1(7.69%)	NCLDV__Nucleocytoviricota:10(76.92%),EUK__Sar:2(15.38%),PLV__MCP in Heliozoa:1(7.69%)	NCLDV:10(76.92%),EUK:2(15.38%),PLV:1(7.69%)	1.01	1.06	89.65	0.11	clean	4	5	5	1.00	0	0	1/4	0	1	0.25	0/4	0.00	2	2	0	0	1.00	1	137217	28.40	137	94.28	1
ERR14872777_NODE_216_length_35230_cov_18.204805	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g303;s_singleton	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_12;g_g303;s_singleton	NCLDV__singleton:1(100.00%)	NCLDV__g303:1(100.00%)	NCLDV__IM_12:1(100.00%)	NCLDV__Imitervirales:1(100.00%)	NCLDV__Megaviricetes:1(100.00%)	NCLDV__Nucleocytoviricota:1(100.00%)	NCLDV:1(100.00%)	1.19	0.00	22.86	1.96	clean	0	0	0	0	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	1.00	1	35230	48.93	34	86.67	codemeta
ERR14872777_NODE_249_length_32110_cov_20.287506	d_;p_;c_;o_;f_;g_;s_	d_;p_;c_;o_;f_;g_;s_								0.00	0.00	0.00	1.93	clean	0	0	0	0	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	0	1	32110	28.99	35	94.62	106
ERR14872777_NODE_57_length_78156_cov_19.025800	d_EUK;p_Ciliophora;c_NA;o_NA;f_NA;g_Telotrochidium;s_Telotrochidium sp.1 P10K	d_EUK;p_Ciliophora;c_NA;o_NA;f_NA;g_Telotrochidium;s_Telotrochidium sp.1 P10K	EUK__Telotrochidium sp.1 P10K:1(100.00%)	EUK__Telotrochidium:1(100.00%)	EUK__NA:1(100.00%)	EUK__NA:1(100.00%)	EUK__NA:1(100.00%)	EUK__Ciliophora:1(100.00%)	EUK:1(100.00%)	1.13	0.00	0.00	1.93	clean	1	2	2	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	0	1	78156	47.04	92	92.27	codemeta
ERR14872777_NODE_78_length_64484_cov_17.242375	d_NCLDV;p_Nucleocytoviricota;c_;o_;f_;g_;s_	d_;p_;c_;o_;f_;g_;s_	EUK__Centropyxidae sp.2 P10K:1(20.00%),NCLDV__S1662:1(20.00%),NCLDV__singleton:1(20.00%),NCLDV__MCP in Euglena gracilis:1(20.00%),NCLDV__S1340:1(20.00%)	EUK__Centropyxidae:1(20.00%),NCLDV__g61:1(20.00%),NCLDV__g363:1(20.00%),NCLDV__MCP in Euglena:1(20.00%),NCLDV__g38:1(20.00%)	NCLDV__AF_03:2(40.00%),EUK__NA:1(20.00%),NCLDV__PM_07:1(20.00%),NCLDV__MCP in Euglenaceae:1(20.00%)	NCLDV__Asfuvirales:2(40.00%),EUK__NA:1(20.00%),NCLDV__Pimascovirales:1(20.00%),NCLDV__MCP in Euglenales:1(20.00%)	NCLDV__Pokkesviricetes:2(40.00%),EUK__NA:1(20.00%),NCLDV__Megaviricetes:1(20.00%),NCLDV__MCP in Euglenozoa:1(20.00%)	NCLDV__Nucleocytoviricota:3(60.00%),EUK__Amoebozoa:1(20.00%),NCLDV__MCP in Discoba:1(20.00%)	NCLDV:4(80.00%),EUK:1(20.00%)	1.08	1.00	41.75	1.95	clean	2	2	2	1.00	1	1	0/4	0	0	0.00	0/4	0.00	0	0	0	0	1.00	1	64484	21.66	38	95.64	4
ERR14872777_NODE_8_length_176732_cov_16.217617	d_;p_;c_;o_;f_;g_;s_	d_;p_;c_;o_;f_;g_;s_	EUK__Bacillariophyta sp.:2(16.67%),NCLDV__S1662:2(16.67%),NCLDV__singleton:2(16.67%),EUK__Schizochytrium sp. CCTCC M209059:1(8.33%),PLV__MCP in Euglena gracilis:1(8.33%),EUK__Globisporangium alternatum:1(8.33%),NCLDV__MCP in Mayorella sp.1 P10K:1(8.33%),EUK__Euglena gracilis:1(8.33%),NCLDV__S1619:1(8.33%)	EUK__Bacillariophyta:2(16.67%),NCLDV__g61:2(16.67%),EUK__Schizochytrium:1(8.33%),PLV__MCP in Euglena:1(8.33%),EUK__Globisporangium:1(8.33%),NCLDV__MCP in Mayorella:1(8.33%),NCLDV__g38:1(8.33%),NCLDV__g361:1(8.33%),EUK__Euglena:1(8.33%),NCLDV__g15:1(8.33%)	EUK__NA:2(16.67%),NCLDV__PM_07:2(16.67%),NCLDV__AF_03:2(16.67%),EUK__Thraustochytriidae:1(8.33%),PLV__MCP in Euglenaceae:1(8.33%),EUK__Pythiaceae:1(8.33%),NCLDV__NA:1(8.33%),EUK__Euglenaceae:1(8.33%),NCLDV__AF_02:1(8.33%)	EUK__NA:3(25.00%),NCLDV__Asfuvirales:3(25.00%),NCLDV__Pimascovirales:2(16.67%),PLV__MCP in Euglenales:1(8.33%),EUK__Pythiales:1(8.33%),NCLDV__NA:1(8.33%),EUK__Euglenales:1(8.33%)	EUK__Stramenopiles:4(33.33%),NCLDV__Pokkesviricetes:3(25.00%),NCLDV__Megaviricetes:2(16.67%),PLV__MCP in Euglenozoa:1(8.33%),NCLDV__NA:1(8.33%),EUK__Euglenozoa:1(8.33%)	NCLDV__Nucleocytoviricota:5(41.67%),EUK__Sar:4(33.33%),PLV__MCP in Discoba:1(8.33%),NCLDV__MCP in Amoebozoa:1(8.33%),EUK__Discoba:1(8.33%)	NCLDV:6(50.00%),EUK:5(41.67%),PLV:1(8.33%)	1.38	0.00	0.00	0.03	clean	2	4	4	1.00	1	1	0/4	0	1	0.00	0/4	0.00	2	2	0	0	1.00	1	176732	21.38	167	90.40	codemeta
ERR14872779_NODE_157_length_56008_cov_8.994245	d_;p_;c_;o_;f_;g_;s_	d_;p_;c_;o_;f_;g_;s_								0.00	0.00	0.00	1.93	clean	0	0	0	0	0	0	1/4	0	0	0.25	0/4	0.00	0	0	0	0	1.00	1	56008	35.36	30	92.60	106
ERR14872781_NODE_137_length_51994_cov_10.210324	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_;s_	d_NCLDV;p_;c_;o_;f_;g_;s_	NCLDV__S31:2(33.33%),NCLDV__singleton:2(33.33%),NCLDV__S1151:1(16.67%),NCLDV__MCP in Longamoebia sp.2 P10K:1(16.67%)	NCLDV__g1068:2(33.33%),NCLDV__g1163:2(33.33%),NCLDV__g1065:1(16.67%),NCLDV__MCP in Longamoebia:1(16.67%)	NCLDV__AG_01:5(83.33%),NCLDV__NA:1(16.67%)	NCLDV__Algavirales:5(83.33%),NCLDV__NA:1(16.67%)	NCLDV__Megaviricetes:5(83.33%),NCLDV__NA:1(16.67%)	NCLDV__Nucleocytoviricota:5(83.33%),NCLDV__MCP in Amoebozoa:1(16.67%)	NCLDV:6(100.00%)	0.60	1.07	67.36	1.93	clean	0	1	1	1.00	2	2	0/4	0	0	0.00	0/4	0.00	2	3	0	0	0	1	51994	34.96	66	95.95	codemeta
ERR14872781_NODE_164_length_46454_cov_6.790211	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_g172;s_S386	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_g172;s_S386	NCLDV__S386:1(100.00%)	NCLDV__g172:1(100.00%)	NCLDV__AG_04:1(100.00%)	NCLDV__Algavirales:1(100.00%)	NCLDV__Megaviricetes:1(100.00%)	NCLDV__Nucleocytoviricota:1(100.00%)	NCLDV:1(100.00%)	1.33	1.07	57.35	1.93	clean	0	0	0	0	0	0	0/4	0	0	0.00	0/4	0.00	1	1	0	0	0	1	46454	25.93	49	93.31	106
ERR14872781_NODE_192_length_41414_cov_9.182886	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_g1068;s_S31	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_;s_	NCLDV__S31:2(66.67%),NCLDV__S718:1(33.33%)	NCLDV__g1068:2(66.67%),NCLDV__g1066:1(33.33%)	NCLDV__AG_01:3(100.00%)	NCLDV__Algavirales:3(100.00%)	NCLDV__Megaviricetes:3(100.00%)	NCLDV__Nucleocytoviricota:3(100.00%)	NCLDV:3(100.00%)	0.12	1.24	70.35	1.79	clean	0	1	1	1.00	1	1	0/4	0	0	0.00	0/4	0.00	1	1	0	0	0	1	41414	33.18	54	96.11	codemeta
ERR14872781_NODE_279_length_31534_cov_6.804505	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_g174;s_singleton	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_g174;s_singleton	NCLDV__singleton:1(100.00%)	NCLDV__g174:1(100.00%)	NCLDV__AG_04:1(100.00%)	NCLDV__Algavirales:1(100.00%)	NCLDV__Megaviricetes:1(100.00%)	NCLDV__Nucleocytoviricota:1(100.00%)	NCLDV:1(100.00%)	0.59	1.00	47.34	1.92	clean	0	1	1	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	0	1	31534	26.51	33	94.97	6
ERR14872782_NODE_108_length_40404_cov_9.332623	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_g1068;s_S31	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_;s_	NCLDV__S31:2(66.67%),NCLDV__S718:1(33.33%)	NCLDV__g1068:2(66.67%),NCLDV__g1066:1(33.33%)	NCLDV__AG_01:3(100.00%)	NCLDV__Algavirales:3(100.00%)	NCLDV__Megaviricetes:3(100.00%)	NCLDV__Nucleocytoviricota:3(100.00%)	NCLDV:3(100.00%)	0.12	1.24	70.35	1.79	clean	0	1	1	1.00	1	1	0/4	0	0	0.00	0/4	0.00	1	1	0	0	0	1	40404	33.09	53	96.34	codemeta
ERR14872782_NODE_132_length_37257_cov_6.233509	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_04;g_;s_	d_;p_;c_;o_;f_;g_;s_	NCLDV__singleton:4(40.00%),NCLDV__S440:3(30.00%),NCLDV__S276:2(20.00%),PLV__MCP in Prorocentrum cordatum:1(10.00%)	NCLDV__g172:3(30.00%),NCLDV__g926:3(30.00%),NCLDV__g182:2(20.00%),PLV__MCP in Prorocentrum:1(10.00%),NCLDV__g168:1(10.00%)	NCLDV__AG_04:7(70.00%),NCLDV__AG_01:2(20.00%),PLV__MCP in Prorocentraceae:1(10.00%)	NCLDV__Algavirales:9(90.00%),PLV__NA:1(10.00%)	NCLDV__Megaviricetes:9(90.00%),PLV__MCP in Dinophyceae:1(10.00%)	NCLDV__Nucleocytoviricota:9(90.00%),PLV__MCP in Dinoflagellata:1(10.00%)	NCLDV:9(90.00%),PLV:1(10.00%)	0.86	1.10	61.89	1.93	clean	1	5	5	1.00	2	2	0/4	0	1	0.00	0/4	0.00	2	2	0	0	0	1	37257	29.79	47	92.89	codemeta
ERR14872782_NODE_68_length_51457_cov_9.528112	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_AG_01;g_;s_	d_NCLDV;p_;c_;o_;f_;g_;s_	NCLDV__S31:2(33.33%),NCLDV__singleton:2(33.33%),NCLDV__S1151:1(16.67%),NCLDV__MCP in Longamoebia sp.2 P10K:1(16.67%)	NCLDV__g1068:2(33.33%),NCLDV__g1163:2(33.33%),NCLDV__g1065:1(16.67%),NCLDV__MCP in Longamoebia:1(16.67%)	NCLDV__AG_01:5(83.33%),NCLDV__NA:1(16.67%)	NCLDV__Algavirales:5(83.33%),NCLDV__NA:1(16.67%)	NCLDV__Megaviricetes:5(83.33%),NCLDV__NA:1(16.67%)	NCLDV__Nucleocytoviricota:5(83.33%),NCLDV__MCP in Amoebozoa:1(16.67%)	NCLDV:6(100.00%)	0.60	1.07	80.33	1.95	clean	0	1	1	1.00	2	2	0/4	0	0	0.00	0/4	0.00	2	3	0	0	0	1	51457	34.99	63	95.77	codemeta
ERR14872782_NODE_69_length_49813_cov_6.244564	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_06;g_g1658;s_singleton	d_NCLDV;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_IM_06;g_g1658;s_singleton	NCLDV__singleton:1(100.00%)	NCLDV__g1658:1(100.00%)	NCLDV__IM_06:1(100.00%)	NCLDV__Imitervirales:1(100.00%)	NCLDV__Megaviricetes:1(100.00%)	NCLDV__Nucleocytoviricota:1(100.00%)	NCLDV:1(100.00%)	2.48	1.00	31.98	1.93	clean	0	1	1	1.00	0	0	0/4	0	0	0.00	0/4	0.00	0	0	0	0	0	1	49813	28.84	71	94.35	codemeta
